nsecode,OccurInDiffScreeners
JETAIRWAYS,12
ARSSINFRA,12
BGLOBAL,12
BKMINDST,12
BOHRAIND,12
SUMEETINDS,12
SONACOMS,12
ZYDUSWELL,12
GAYAPROJ,12
QUINTEGRA,12
FCONSUMER,12
NESTLEIND,11
TEGA,11
HEIDELBERG,11
INNOVACAP,11
CHALET,11
TIPSINDLTD,11
FMNL,11
TVSSCS,11
NORBTEAEXP,11
SSWL,11
MRO-TEK,11
SDL24BEES,11
CUPID,11
SCPL,11
VTL,11
BECTORFOOD,11
MEDICAMEQ,11
ZOMATO,11
FOCUS,11
UBL,11
BANG,10
TCNSBRANDS,10
BEARDSELL,10
MGEL,10
MANGALAM,10
AXISBANK,10
TERASOFT,10
TMB,10
ARTNIRMAN,10
UNIONBANK,10
VIPIND,10
ANSALAPI,10
WEL,10
WOCKPHARMA,10
KALAMANDIR,10
KPIL,10
MMP,10
GNFC,10
PEARLPOLY,10
RELIANCE,10
GROBTEA,10
RBA,10
SETF10GILT,10
NRAIL,10
HCLTECH,10
HDFCGROWTH,10
MOLOWVOL,10
HDFCVALUE,10
NGIL,10
SILLYMONKS,10
SPECIALITY,10
OMAXE,10
PKTEA,10
BRITANNIA,10
GOKEX,10
BOROLTD,10
MOTILALOFS,10
GUFICBIO,10
NYKAA,9
RVHL,9
WELINV,9
SANGHVIMOV,9
LEXUS,9
KTKBANK,9
RUCHINFRA,9
POKARNA,9
SHAREINDIA,9
THEINVEST,9
SNOWMAN,9
NDTV,9
PAVNAIND,9
SUNCLAY,9
MCL,9
TAINWALCHM,9
SFL,9
LICMFGOLD,9
BSOFT,9
FLEXITUFF,9
BSHSL,9
HOVS,9
HINDCON,9
BANKETF,9
CEREBRAINT,9
HDFCNIF100,9
BAFNAPH,9
AXISCADES,9
CONSOFINVT,9
AUTOAXLES,9
CYBERMEDIA,9
DAVANGERE,9
AVG,9
BIOFILCHEM,9
ABFRL,9
DIGJAMLMTD,9
AMDIND,9
DMCC,9
KAMOPAINTS,9
DOMS,9
HILTON,8
SINTERCOM,8
SMLT,8
RADAAN,8
SPAL,8
KFINTECH,8
HINDMOTORS,8
STOVEKRAFT,8
DPABHUSHAN,8
BSLSENETFG,8
PREMIER,8
SALZERELEC,8
NPBET,8
SICALLOG,8
GRINFRA,8
OBEROIRLTY,8
SHANTI,8
COMPUSOFT,8
EXCEL,8
MOM50,8
CONCORDBIO,8
CREDITACC,8
FILATFASH,8
DIVGIITTS,8
DELTAMAGNT,8
SHIVALIK,8
RTNINDIA,8
SVPGLOB,8
IDFCFIRSTB,8
KSCL,8
LGBFORGE,8
VINNY,8
APLLTD,8
J&KBANK,8
AUTOIND,8
IPCALAB,8
THOMASCOTT,8
IMPEXFERRO,8
TEAMLEASE,8
MASTEK,8
AXISCETF,8
IDBI,8
BCONCEPTS,8
MODISONLTD,8
SWSOLAR,8
BERGEPAINT,8
METROPOLIS,8
DPWIRES,8
SIKKO,7
ANUP,7
APOLLOTYRE,7
APOLLO,7
DREDGECORP,7
SADBHAV,7
VIKASECO,7
SILVER1,7
SINDHUTRAD,7
DOLLAR,7
UMESLTD,7
VSSL,7
BANKBETF,7
XCHANGING,7
RHL,7
XELPMOC,7
ZIMLAB,7
REDTAPE,7
SANDUMA,7
SBC,7
SOMATEX,7
SWANENERGY,7
SIGIND,7
SIGACHI,7
SOTL,7
BAJAJ-AUTO,7
BANDHANBNK,7
CINEVISTA,7
TIIL,7
TIMESGTY,7
SBCL,7
SENSEXIETF,7
BYKE,7
BUTTERFLY,7
AUBANK,7
UMAEXPORTS,7
SMLISUZU,7
DELPHIFX,7
CELEBRITY,7
KECL,7
MUNJALSHOW,7
HYBRIDFIN,7
GLS,7
NRBBEARING,7
NIF5GETF,7
HEG,7
HEROMOTOCO,7
NEWGEN,7
HIMATSEIDE,7
NBIFIN,7
MOTISONS,7
HITECHGEAR,7
HMAAGRO,7
HONASA,7
MINDACORP,7
GLAND,7
MEDPLUS,7
IDEA,7
MBLINFRA,7
MARATHON,7
INDRAMEDCO,7
MAHLOG,7
IVZINGOLD,7
JSWINFRA,7
LIKHITHA,7
JUNIPER,7
LAL,7
KARURVYSYA,7
ORIENTBELL,7
5PAISA,7
EIFFL,7
EMAMIREAL,7
RADHIKAJWE,7
GARFIBRES,7
FIVESTAR,7
ELGIEQUIP,7
IPL,6
JINDALPHOT,6
UJJIVANSFB,6
APTECHT,6
ASPINWALL,6
IRFC,6
TVSELECT,6
LOKESHMACH,6
PAR,6
INGERRAND,6
JSL,6
MALLCOM,6
MANALIPETC,6
RPTECH,6
MAPMYINDIA,6
EMAMILTD,6
INDIANCARD,6
BAJAJHLDNG,6
TECH,6
MASKINVEST,6
ROSSELLIND,6
REMSONSIND,6
UNITEDTEA,6
AGI,6
KHAICHEM,6
EDUCOMP,6
YESBANK,6
YAARI,6
KOTHARIPET,6
KAPSTON,6
ABMINTLLTD,6
ADL,6
WIPL,6
WELENT,6
LICNETFGSC,6
AGRITECH,6
WALCHANNAG,6
ALPA,6
KANPRPLA,6
VRLLOG,6
VOLTAS,6
VLSFINANCE,6
RAIN,6
LASA,6
MAYURUNIQ,6
TATATECH,6
PANACHE,6
FCSSOFT,6
PENINLAND,6
DHANBANK,6
NH,6
HEADSUP,6
GANESHBE,6
NIFTYPVTBANK,6
HDFCBANK,6
HARIOMPIPE,6
SATINDLTD,6
NRL,6
GTPL,6
GREENPLY,6
OILCOUNTUB,6
SHANKARA,6
SHALPAINTS,6
COLPAL,6
GOLDIAM,6
OMKARCHEM,6
PARKHOTELS,6
PARADEEP,6
CSBBANK,6
SANDHAR,6
NETWEB,6
CAMPUS,6
DIAMONDYD,6
BBNPPGOLD,6
PNB,6
BFINVEST,6
SADBHIN,6
FLAIR,6
SAKAR,6
BIGBLOC,6
MONQ50,6
BLUEJET,6
PFOCUS,6
DHUNINV,6
HITECHCORP,6
RANEENGINE,6
STEELXIND,6
STEELCITY,6
STCINDIA,6
NAGREEKCAP,6
SRPL,6
NAUKRI,6
SAMBHAAV,6
RAYMOND,6
