Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,425503,1250,1,NATURALGAS,NATURALGAS23JAN24P350,23-JAN-2024,OPTFUT,PE,350,0.05,
MCX,425504,1250,1,NATURALGAS,NATURALGAS23JAN24P355,23-JAN-2024,OPTFUT,PE,355,0.05,
MCX,425505,1250,1,NATURALGAS,NATURALGAS23JAN24P360,23-JAN-2024,OPTFUT,PE,360,0.05,
MCX,425506,1250,1,NATURALGAS,NATURALGAS23JAN24P365,23-JAN-2024,OPTFUT,PE,365,0.05,
MCX,425507,1250,1,NATURALGAS,NATURALGAS23JAN24P370,23-JAN-2024,OPTFUT,PE,370,0.05,
MCX,425508,1250,1,NATURALGAS,NATURALGAS23JAN24P375,23-JAN-2024,OPTFUT,PE,375,0.05,
MCX,425509,1250,1,NATURALGAS,NATURALGAS23JAN24P380,23-JAN-2024,OPTFUT,PE,380,0.05,
MCX,425524,1250,1,NATURALGAS,NATURALGAS23JAN24C385,23-JAN-2024,OPTFUT,CE,385,0.05,
MCX,425525,1250,1,NATURALGAS,NATURALGAS23JAN24P385,23-JAN-2024,OPTFUT,PE,385,0.05,
MCX,425534,1250,1,NATURALGAS,NATURALGAS23JAN24C225,23-JAN-2024,OPTFUT,CE,225,0.05,
MCX,425535,1250,1,NATURALGAS,NATURALGAS23JAN24C220,23-JAN-2024,OPTFUT,CE,220,0.05,
MCX,425536,1250,1,NATURALGAS,NATURALGAS23JAN24P225,23-JAN-2024,OPTFUT,PE,225,0.05,
MCX,425537,1250,1,NATURALGAS,NATURALGAS23JAN24P220,23-JAN-2024,OPTFUT,PE,220,0.05,
MCX,425577,1250,1,NATURALGAS,NATURALGAS23JAN24C390,23-JAN-2024,OPTFUT,CE,390,0.05,
MCX,425578,1250,1,NATURALGAS,NATURALGAS23JAN24P390,23-JAN-2024,OPTFUT,PE,390,0.05,
MCX,425629,1250,1,NATURALGAS,NATURALGAS23JAN24C215,23-JAN-2024,OPTFUT,CE,215,0.05,
MCX,425632,1250,1,NATURALGAS,NATURALGAS23JAN24P215,23-JAN-2024,OPTFUT,PE,215,0.05,
MCX,425661,1250,1,NATURALGAS,NATURALGAS23JAN24C210,23-JAN-2024,OPTFUT,CE,210,0.05,
MCX,425662,1250,1,NATURALGAS,NATURALGAS23JAN24C205,23-JAN-2024,OPTFUT,CE,205,0.05,
MCX,425667,1250,1,NATURALGAS,NATURALGAS23JAN24P210,23-JAN-2024,OPTFUT,PE,210,0.05,
MCX,425668,1250,1,NATURALGAS,NATURALGAS23JAN24P205,23-JAN-2024,OPTFUT,PE,205,0.05,
MCX,425674,1250,1,NATURALGAS,NATURALGAS23JAN24C200,23-JAN-2024,OPTFUT,CE,200,0.05,
MCX,425675,1250,1,NATURALGAS,NATURALGAS23JAN24P200,23-JAN-2024,OPTFUT,PE,200,0.05,
MCX,425839,1250,1,NATURALGAS,NATURALGAS23JAN24C195,23-JAN-2024,OPTFUT,CE,195,0.05,
MCX,425841,1250,1,NATURALGAS,NATURALGAS23JAN24P195,23-JAN-2024,OPTFUT,PE,195,0.05,
MCX,425954,1250,1,NATURALGAS,NATURALGAS23JAN24C190,23-JAN-2024,OPTFUT,CE,190,0.05,
MCX,425955,1250,1,NATURALGAS,NATURALGAS23JAN24C185,23-JAN-2024,OPTFUT,CE,185,0.05,
MCX,425956,1250,1,NATURALGAS,NATURALGAS23JAN24C180,23-JAN-2024,OPTFUT,CE,180,0.05,
MCX,425961,1250,1,NATURALGAS,NATURALGAS23JAN24P190,23-JAN-2024,OPTFUT,PE,190,0.05,
MCX,425962,1250,1,NATURALGAS,NATURALGAS23JAN24P185,23-JAN-2024,OPTFUT,PE,185,0.05,
MCX,425963,1250,1,NATURALGAS,NATURALGAS23JAN24P180,23-JAN-2024,OPTFUT,PE,180,0.05,
MCX,425986,1250,1,NATURALGAS,NATURALGAS23JAN24C175,23-JAN-2024,OPTFUT,CE,175,0.05,
MCX,425987,1250,1,NATURALGAS,NATURALGAS23JAN24P175,23-JAN-2024,OPTFUT,PE,175,0.05,
