Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,NOVATEOR,542771,E,Novateor Research Laboratories,Novateor Research Laboratories,6000,0.05,NOVATEOR
BSE,bse_cm,360ONE,542772,E,360 ONE WAM LIMITED,360 ONE WAM LIMITED,1,0.05,360ONE
BSE,bse_cm,IIFLSEC,542773,E,IIFL Securities Limited,IIFL Securities Limited,1,0.05,IIFLSEC
BSE,bse_cm,MUFIN,542774,E,MUFIN GREEN FINANCE LIMITED,MUFIN GREEN FINANCE LIMITED,1,0.05,MUFIN
BSE,bse_cm,MISQUITA,542801,E,Misquita Engineering Limited,Misquita Engineering Limited,2000,0.05,MISQUITA
BSE,bse_cm,GALACTICO,542802,E,Galactico Corporate Services L,Galactico Corporate Services L,1,0.01,GALACTICO
BSE,bse_cm,VEL,542803,E,Vaxfab Enterprises Limited,Vaxfab Enterprises Limited,1,0.05,VEL
BSE,bse_cm,NIESSPJ,542804,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.05,NIESSPJ
BSE,bse_cm,NIESSPI,542805,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPI
BSE,bse_cm,NIESSPB,542806,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPB
BSE,bse_cm,NIESSPO,542807,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPO
BSE,bse_cm,NIESSPC,542808,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPC
BSE,bse_cm,NIESSPP,542809,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPP
BSE,bse_cm,NIESSPA,542810,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPA
BSE,bse_cm,NIESSPG,542811,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIESSPG
BSE,bse_cm,FLUOROCHEM,542812,E,Gujarat Fluorochemicals Limite,Gujarat Fluorochemicals Limite,1,0.05,FLUOROCHEM
BSE,bse_cm,NIEHSPA,542813,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPA
BSE,bse_cm,NIEHSPB,542814,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPB
BSE,bse_cm,NIEHSPC,542815,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPC
BSE,bse_cm,NIEHSPF,542816,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPF
BSE,bse_cm,NIEHSPI,542817,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPI
BSE,bse_cm,NIEHSPK,542818,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPK
BSE,bse_cm,NIEHSPM,542819,E,Nippon India Mutual Fund,Nippon India Mutual Fund,1,0.01,NIEHSPM
