id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
3877,CDS,cde_fo,GBPINR,5990,OPTCUR,CE,99,GBPINR28MARCH2399CE,GBPINR23MAR99CE,GBPINR 28MAR23 99 CE,28-03-2023,1,0.0025
3878,CDS,cde_fo,GBPINR,5991,OPTCUR,PE,99,GBPINR28MARCH2399PE,GBPINR23MAR99PE,GBPINR 28MAR23 99 PE,28-03-2023,1,0.0025
3879,CDS,cde_fo,GBPINR,5992,OPTCUR,CE,99.25,GBPINR28MARCH2399.25CE,GBPINR23MAR99.25CE,GBPINR 28MAR23 99.25 CE,28-03-2023,1,0.0025
3880,CDS,cde_fo,GBPINR,5993,OPTCUR,PE,99.25,GBPINR28MARCH2399.25PE,GBPINR23MAR99.25PE,GBPINR 28MAR23 99.25 PE,28-03-2023,1,0.0025
3881,CDS,cde_fo,GBPINR,5994,OPTCUR,CE,99.5,GBPINR28MARCH2399.5CE,GBPINR23MAR99.5CE,GBPINR 28MAR23 99.5 CE,28-03-2023,1,0.0025
3882,CDS,cde_fo,GBPINR,5995,OPTCUR,PE,99.5,GBPINR28MARCH2399.5PE,GBPINR23MAR99.5PE,GBPINR 28MAR23 99.5 PE,28-03-2023,1,0.0025
3883,CDS,cde_fo,GBPINR,5996,OPTCUR,CE,99.75,GBPINR28MARCH2399.75CE,GBPINR23MAR99.75CE,GBPINR 28MAR23 99.75 CE,28-03-2023,1,0.0025
3884,CDS,cde_fo,GBPINR,5997,OPTCUR,PE,99.75,GBPINR28MARCH2399.75PE,GBPINR23MAR99.75PE,GBPINR 28MAR23 99.75 PE,28-03-2023,1,0.0025
3885,CDS,cde_fo,EURINR,5998,OPTCUR,PE,92.5,EURINR24FEBRUARY2392.5PE,EURINR23FEB92.5PE,EURINR 24FEB23 92.5 PE,24-02-2023,1,0.0025
3886,CDS,cde_fo,GBPINR,5999,OPTCUR,CE,98,GBPINR03FEBRUARY2398CE,GBPINR2320398CE,GBPINR 03FEB23 98 CE,03-02-2023,1,0.0025
3887,CDS,cde_fo,GBPINR,6000,OPTCUR,PE,98,GBPINR03FEBRUARY2398PE,GBPINR2320398PE,GBPINR 03FEB23 98 PE,03-02-2023,1,0.0025
3888,CDS,cde_fo,GBPINR,6001,OPTCUR,CE,100,GBPINR28MARCH23100CE,GBPINR23MAR100CE,GBPINR 28MAR23 100 CE,28-03-2023,1,0.0025
